Country Name,Country Code,Year,"average_value_Adjusted net savings, excluding particulate emission damage (% of GNI)","average_value_Adjusted net savings, excluding particulate emission damage (current US$)",average_value_Adjusted savings: carbon dioxide damage (% of GNI),average_value_Adjusted savings: carbon dioxide damage (current US$),average_value_Adjusted savings: consumption of fixed capital (% of GNI),average_value_Adjusted savings: consumption of fixed capital (current US$),average_value_Adjusted savings: education expenditure (% of GNI),average_value_Adjusted savings: education expenditure (current US$),average_value_Adjusted savings: energy depletion (% of GNI),average_value_Adjusted savings: energy depletion (current US$),average_value_Adjusted savings: gross savings (% of GNI),average_value_Adjusted savings: mineral depletion (% of GNI),average_value_Adjusted savings: mineral depletion (current US$),average_value_Adjusted savings: net forest depletion (% of GNI),average_value_Adjusted savings: net forest depletion (current US$),average_value_Adjusted savings: net national savings (% of GNI),average_value_Adjusted savings: net national savings (current US$),average_value_Agricultural methane emissions (% of total),average_value_Agricultural nitrous oxide emissions (% of total),average_value_Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),average_value_Aquaculture production (metric tons),"average_value_Bird species, threatened",average_value_Capture fisheries production (metric tons),average_value_Coal rents (% of GDP),average_value_Energy related methane emissions (% of total),"average_value_Fish species, threatened",average_value_Forest rents (% of GDP),"average_value_Mammal species, threatened",average_value_Marine protected areas (% of territorial waters),average_value_Methane emissions (% change from 1990),average_value_Methane emissions (kt of CO2 equivalent),average_value_Methane emissions in energy sector (thousand metric tons of CO2 equivalent),average_value_Mineral rents (% of GDP),average_value_Natural gas rents (% of GDP),average_value_Nitrous oxide emissions (% change from 1990),average_value_Nitrous oxide emissions (thousand metric tons of CO2 equivalent),average_value_Nitrous oxide emissions in energy sector (% of total),average_value_Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),average_value_Oil rents (% of GDP),average_value_People practicing open defecation (% of population),average_value_People using at least basic drinking water services (% of population),average_value_People using at least basic sanitation services (% of population),"average_value_Plant species (higher), threatened",average_value_Population living in areas where elevation is below 5 meters (% of total population),average_value_Rural population living in areas where elevation is below 5 meters (% of total population),average_value_Terrestrial and marine protected areas (% of total territorial area),average_value_Terrestrial protected areas (% of total land area),average_value_Total fisheries production (metric tons),average_value_Total natural resources rents (% of GDP),average_value_Urban population living in areas where elevation is below 5 meters (% of total population)
Montenegro,MNE,2010,,,1.682056341,69201708.05,14.25248872,586363571.1,,,0.213943795,8801890.703,1.175028354,0.008371976,344432.5972,0,0,-13.07746036,-538021570.3,,,120,740,,1345.400024,0.728129287,,,0.382019298,,,,870,280,0.039473805,0,,190,,50,0,0.13708767,96.164094,92.79849378,,,,,,2085.399902,1.149622391,
Singapore,SGP,2016,33.70059691,1.00598E+11,0.451637906,1348166249,16.26141369,48541295552,2.76,8238765600,0,0,47.65368539,0,0,0,0,31.39223481,93707704448,,,20,6112.36084,,6973,0,,,0.000423974,,,,3940,980,0,0,,8910,,370,0,0,100,100,,,,2.486652527,5.62,13085.36035,0.000423974,
Suriname,SUR,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21956204,97.98963167,89.95421143,,,,,,,,
Samoa,WSM,2010,,,0.829998505,5339314.842,11.90533379,76586072.15,4.24,27275585.18,0,0,,0,0,0,0,,,,,40,5,,12840,0,,,0.421173837,,,13.92591038,280,10,0,0,14.79776182,50,,0,0,0.076101662,90.19492888,95.45031957,,1.44459699,0.336965511,,,12845,0.421173837,1.107631479
Burundi,BDI,2010,-28.33656223,-572775096.9,0.435068533,8794165.622,13.9666604,282312130.8,6.36,128556512.5,0,0,3.23,0.136719275,2763546.101,23.39146916,472818505.9,-10.73330526,-216955391.8,,,1160,17.29999924,,17305,0,,,23.66391968,,,55.29616704,1630,700,0.189455217,0,15.04566273,1710,,220,0,2.698327566,56.52311691,45.93007051,,,,,,17322.30078,23.8533749,
Brunei Darussalam,BRN,2012,37.77687219,7023003504,1.614805285,300204398.1,8.855117211,1646232618,2.683381229,498860670.1,18.88818298,3511454696,64.45159644,0,0,0,0,55.59647923,10335801928,,,110,550,,4528,0,,,0.050620381,,,25.70071859,9850,9670,0,5.710511707,-40.05506947,150,,30,20.88083582,2.6,99.50393221,96.34904195,,,,,,5078,26.64196791,
Cote d'Ivoire,CIV,2013,15.2595971,4556787968,1.155880218,345166457,2.632946369,786244764.7,4.427513254,1322134456,3.525825004,1052874256,18.56555587,0.405404479,121061010.9,0,0,15.91919355,4753755235,,,3240,3720,,61334,0,,,2.851309547,,,,6560,1160,0.504509061,1.09755688,,3420,,130,2.828445121,28.52744855,71.14295293,29.1173798,,,,,,65054,7.28182061,
Comoros,COM,2014,-0.415167239,-4778991.132,0.45024514,5182772.942,10.16292577,116985464,2.507571064,28864656.81,0,0,9.546574166,0,0,1.856141564,21366050.2,-0.616351598,-7094824.796,,,50,,,9256,0,,,1.976247919,,,,260,30,0,0,,50,,10,0,0.591960299,80.20603645,34.86743171,,,,,,9256,1.976247919,
Fiji,FJI,2011,7.374893451,269817306.1,0.887153658,32457338.11,11.64464705,426030195.3,4.41,161343933.7,0,0,16.30399755,0.807303387,29535941.98,0,0,4.659350497,170466652.5,,,320,646,,46159,0,,,0.894942159,,,11.39795907,870,110,1.050354339,0,-3.908703564,340,,10,0,0.256229894,94.27500795,90.80889062,,,,,,46805,1.945296497,
Gabon,GAB,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.007312407,85.3419306,49.82416677,,,,,,,,
IDA blend,IDB,2013,3.661318548,,1.540147584,,10.38500124,,2.282322814,,4.548987828,,18.56221093,0.292451234,,0.416627316,,8.177209695,,,,120600,492352.9992,,2160990.469,0.030205285,,,1.00841676,,,,439670,189700,0.402800038,1.674516839,,195140,,8360,6.848312231,16.97309378,75.45493191,47.55723512,,,,,,2653343.468,9.964251153,
Jordan,JOR,2019,9.864020056,4390510902,2.40510669,1070521662,6.209790144,2763999989,2.686565332,1195799919,0.007102131,3161184.038,15.81975111,0,0,0.017088567,7606182.754,9.606752111,4276000011,,,,,,,0,,,0.020527207,,,,,,0,0.013391874,,,,,0.000967125,0.10625087,98.95398581,97.16183197,,,,,,,0.034886206,
French Polynesia,PYF,2011,,,,23058916.97,,,0.499851816,,,0,,,0,,0,,,,,,2918.920898,,12852,,,,,,,38.76715325,,,,,0.722473681,,,,,0.433236508,100,97.46606323,,,,,,15770.9209,,
Tuvalu,TUV,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,
Uzbekistan,UZB,2018,20.69005505,10738067364,6.302331089,3270888146,10.74162319,5574865467,9.3747642,4865470356,7.588193145,3938246127,40.13289561,4.185457342,2172237956,0,0,29.39127242,15253969237,,,13440,57384,19,33600,0.052300894,,7,0.001681023,10,,,105930,77050,6.038101379,9.981347901,,16240,,60,1.907556611,0,97.83094172,99.99999699,16,,,3.375213715,3.375213715,90984,17.98098781,
British Virgin Islands,VGB,2017,,,,8085244.609,,,,,,0,,,0,,,,,,,,1,,1192,,,,,,0.004115696,,,,,,,,,,,,99.86438356,,,,,0.023926598,9.108814682,1193,,
Cameroon,CMR,2010,2.352389164,609268793.4,0.747398981,193576336.1,13.96468754,3616854074,2.96,766640000,4.000956864,1036247828,18.2,0.056168597,14547666.51,0,0,4.196913606,1087000624,,,5620,570,,181000,0,,,2.789078408,,,13.5987034,12960,3470,0.075857009,0.079051836,30.28005809,62470,,650,4.556698243,6.730106439,62.03643519,40.61949533,,0.456646277,0.180562719,,,181570,7.500685495,0.276083558
Costa Rica,CRI,2018,16.2758665,9320604458,0.542645974,310753868.9,5.684434842,3255271768,7.192505859,4118889901,0,0,16.1,0.001531492,877030.7697,0.789888039,452340523.5,10.41742615,5965685980,,,1570,20820,27,13673,0,,64,0.959539064,11,0.833447452,,4820,380,0.001813071,0,,1940,,150,0,0.18081291,99.78441783,97.58654255,143,,,3.035389593,27.60269532,34493,0.961352136,
Curacao,CUW,2018,,,,,,,5.018117877,162225378.3,0,0,,0,0,,,,,,,,,2,37910,0,,28,0,3,0.034170931,,,,0,,,,,,,,,,2,,,0.258715834,15.4623807,37910,0,
East Asia & Pacific (excluding high income),EAP,2012,24.69264145,,3.310193706,,16.8698266,,2.146116265,,2.228761887,,45.43940855,0.456291512,,0.02780966,,28.56958195,,,,526740,70831655.75,,32750749.95,1.602661486,,,0.30277862,,,54.82208864,1825990,808390,0.740807184,0.267150796,47.30743332,699980,,57720,1.596598209,4.010332992,88.95730054,77.07343506,,,,,,103582407.8,4.509996295,
Spain,ESP,2010,7.48262967,1.04758E+11,0.552454155,7734468664,15.28333421,2.1397E+11,4.41,61740882000,0.002032168,28450762.16,18.91788298,0.007350972,102915075.7,0,0,3.634466966,50883264415,,,15590,252352.25,,975413.625,0.016521157,,,0.025569477,,,12.23627663,39450,3490,0.014001828,0.00035248,-13.8851303,20010,,2300,0.00270361,0,100,99.90378733,,4.376614966,0.883991979,,,1227765.875,0.059148553,3.492622987
"Gambia, The",GMB,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100256752,80.94040714,46.87122407,,,,,,,,
Kyrgyz Republic,KGZ,2017,9.150788591,670752803.7,5.315298249,389611361.6,12.08461216,885802071.3,5.388822011,395000653.4,0.024169503,1771624.581,28,6.781211353,497062792.2,0,0,15.88264569,1164197929,,,1650,2100,,90,0.151288499,,,0.013211702,,,,4880,670,8.489203512,0.002367583,,1850,,100,0.101740987,0,89.60251494,97.54907448,,,,6.702692983,6.702692983,2190,8.757812283,
Marshall Islands,MHL,2010,,,1.955877154,3873620.572,6.93104166,13726948.8,6.51,12893074.53,,,23.01341431,0,0,,,16.08237265,31851187.28,,,0,0,,59751,,,,0,,,59.33846186,30,0,0,,20.3617482,0,,0,,10.78440712,88.01053081,81.70223477,,35.86786808,35.86786808,,,59751,0,0
Nepal,NPL,2019,42.9058157,13298921367,1.858635867,576095614,6.522458837,2021676217,3.244980665,1005801708,0.001006817,312069.1718,48.38558066,7.9481E-06,2463.563281,0.342636155,106202182.7,41.86312182,12975731989,,,,,,,0.002450163,,,0.478159156,,,,,,4.65141E-05,0,,,,,0,12.58891601,89.63710487,72.88013018,,,,,,,0.480655833,
Rwanda,RWA,2013,2.447219596,188049537.7,0.343869482,26423659.43,12.47493682,958600570.9,4.28,328884266.3,0,0,16.56513012,0.004301532,330538.8212,5.574802686,428379647.4,4.090193296,314299117.1,,,1570,1165.199951,,22390,0,,,5.942560958,,,,2630,960,0.400883016,0,,1810,,70,0,2.69018013,55.54163998,61.86752513,,,,,,23555.19922,6.343443974,
Zambia,ZMB,2015,19.07513583,3973633814,0.756441126,157577910,16.60277333,3458604022,3.937557388,820251626,0.001423234,296480.7481,34.36689884,1.868682709,389274334.2,0,0,17.76412551,3700530913,,,14630,22754,,127645,0.015313519,,,8.214583743,,,,18010,3590,2.933684573,0,,15310,,520,0,15.07843535,61.33874628,29.70884126,,,,,,150399,11.16358183,
Australia,AUS,2012,10.3576381,1.55365E+11,0.803604808,12054072119,16.81491267,2.52224E+11,5.05,75750000000,0.981326504,14719897556,25.1,1.159184588,17387768817,0,0,8.251753995,1.23776E+11,,,100540,78992.10156,,216678.0469,1.196547658,,,0.090267674,,,9.064866328,166730,35740,3.046634155,0.341825019,-13.74697749,107090,,3720,0.71593009,0,99.90076728,99.99115238,,,,,,295670.1563,5.391204595,
"Congo, Dem. Rep.",COD,2015,2.139237009,751445000.3,0.280917976,98677429.1,6.78434892,2383123074,2.06,723611593.5,0.249101607,87501364.37,14.40807745,2.598112295,912633096,4.416359647,1551324777,7.623728533,2677970074,,,13590,2956.5,,230726,0,,,16.47369529,,,,37360,10750,3.289944751,0.000297943,,16170,,2230,0.353079115,11.72699236,42.71817997,17.40283928,,,,,,233682.5,20.1170171,
"Egypt, Arab Rep.",EGY,2015,3.672594246,11886938893,2.412366742,7808010940,5.169516265,16731966513,4.4111256,14277313784,2.649921628,8576895336,9.762439631,0.040429227,130855660.6,0.228727376,740312748.7,4.592913619,14865699794,,,15320,1174831,,344113,0,,,0.230229953,,,,55570,13930,0.125986728,0.730696582,,21630,,510,3.091911172,0.105248259,99.10671754,95.80833413,,,,,,1518944,4.178824435,
Guam,GUM,2014,,,,60520683.79,,,8.3161306,,,0,,,0,,,,,,,,110,,410,0,,,0,,,,,,0,0,,,,,0,0.7332,99.6952,90.35076551,,,,,,520,0,
Kuwait,KWT,2011,37.2361862,60716208127,1.584620208,2583834173,5.611437783,9149842105,3.19,5201518300,12.97505377,21156733421,54.21752086,0,0,0.00030483,497047.4211,48.606165,79255754468,,,250,319,,4038,0,,,0.000369166,,,131.8426243,4920,3070,0,0.733369886,17.72322288,580,,150,58.24907262,0,100,100,,,,,,4357,58.98281168,
Sri Lanka,LKA,2012,27.92610916,18772091329,0.742067699,498822178.9,6.601670989,4437681240,1.43,961254231.5,0,0,33.90312485,0.002675172,1798265.843,0.060601824,40736894.82,27.30145386,18352194437,,,2000,8839.755859,,475801,0,,,0.130627133,,,3.034696589,9760,2170,0.009795569,0,23.57609362,2770,,390,0,1.717758469,88.04181203,87.84836699,,,,,,484640.75,0.140422702,
Lithuania,LTU,2018,11.15191126,5805236690,0.996744638,518865189.1,12.80890032,6667798583,3.739695734,1946735262,0.015044273,7831443.577,21.23290475,0,0,0,0,8.424004434,4385198061,,,3140,3750.090088,10,74383,0,,6,0.339626714,2,25.59102673,,3150,500,0,0,,3530,,140,0.026274474,0,97.99053454,93.89547291,1,,,17.76420869,17.02310098,78133.09375,0.365901188,
Madagascar,MDG,2016,6.59145681,753520417.3,1.228472409,140436184.2,10.84955309,1240296342,2.08,237780890.2,0.030860886,3527946.634,16.6005286,0,0,0,0,5.770790105,659703657.9,,,8580,25998,,142833,0,,,8.715826527,,0.357265832,,17810,2230,0,0,,9170,,360,0.059878806,41.8597936,49.78933803,10.73792899,,,,1.972848754,5.25,168831,8.775705333,
Mauritius,MUS,2010,0.328330013,32546846.8,1.127945903,111811534.3,15.96638042,1582722618,3.38,335054176.8,0,0,14.04265633,0,0,0,0,-1.923724084,-190695795.6,,,100,567.5,,7366,0,,,0.0068319,,,45.2857578,1700,10,0,0,3.488608859,240,,30,0,0.113402472,99.72937337,94.23356516,,1.413202542,0.732167648,,,7933.5,0.0068319,0.681034894
Malaysia,MYS,2010,12.98363923,32057124599,2.538188903,6266889930,19.14034835,47258285696,4.99016197,12320909510,4.856842987,11991739608,34.56605359,0.037218936,91895041.41,0,0,15.42572808,38086739668,,,10470,581242.9375,,1438317,0.047230171,,,2.936034653,,,42.24682472,42720,21130,0.166404941,1.644121636,7.351741324,11910,,250,4.646951212,0.54671473,97.01774688,98.84265205,,5.098261202,1.957573189,,,2019559.875,9.440742612,3.140688013
North America,NAC,2017,5.999874087,,0.963845124,,15.75897402,,4.435732534,,0.168919379,,18.49170813,0.035828056,,0,,2.732734112,,,,216150,631286,,6435193.75,0.174154429,,,0.044525805,,20.91092006,,706880,340910,0.05388251,0,,290690,,43740,0.232311858,0,99.58542511,99.67078687,,,,16.37478399,11.33366072,7066479.75,0.504874602,
Panama,PAN,2015,29.50379704,14940958852,0.764073263,386932813.1,6.275332587,3177878625,2.8,1417942400,0,0,33.76783147,0.024628581,12472110.61,0,0,27.49249889,13922421375,,,1160,9550.320313,,145801,0,,,0.104951517,,,,5140,530,0.030024573,0,,1340,,120,0,5.033525135,92.90436561,78.67273411,,,,,,155351.3125,0.13497609,
Papua New Guinea,PNG,2018,,,1.242865021,291977896.6,6.840068279,1606891106,6.9,1620970461,6.684771215,1570408214,,1.834178235,430891121.7,0,0,,,,,3670,6001.100098,39,258611,0,,61,2.369764392,41,0.190475346,,11310,5690,2.722126485,6.402832832,,3930,,160,2.358820618,15.73339003,43.79194871,19.0774038,179,,,0.657989653,3.065929904,264612.0938,13.85354433,
Sweden,SWE,2014,17.19104389,1.02157E+11,0.246239284,1463269561,16.54142336,98296912080,7.038271627,41824717997,0,0,26.99500845,0.054568856,324273788,0,0,10.4535804,62120087920,,,3960,12899,,181574,0,,,0.214121787,,,,5040,450,0.075914267,0,,4920,,620,0,0,99.75824575,99.24592852,,,,,,194473,0.290036054,
Trinidad and Tobago,TTO,2013,,,5.85089424,1503778752,15.75426671,4049112934,2.87,737638528.9,12.10210549,3110445745,,0,0,0,0,,,,,200,7.550000191,,13217,0,,,0.022045167,,,,1210,80,0,9.328488689,,380,,30,5.633520578,0.076895633,97.370348,93.34236993,,,,,,13224.5498,14.98405443,
Uruguay,URY,2012,7.337452834,3490022499,0.56770183,270024517.4,9.754493626,4639675783,4.399899985,2092790276,0,0,13.70921713,0.08005253,38076582.75,0.369416293,175710999.8,3.954723502,1881044323,,,7990,91.23200226,,76217,0,,,1.048563472,,,24.10158646,21120,230,0.09784191,0,33.86086778,8210,,80,0,0.818265154,98.70837852,95.73860832,,,,,,76308.23438,1.146405382,
Antigua and Barbuda,ATG,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,2016,5.491319541,1943676248,3.817429202,1351195540,7.077665213,2505170145,3.045548056,1077984877,10.19571768,3608818271,23.62350912,0.08692554,30767669.91,0,0,16.54584391,5856472852,,,3300,640,,722,0,,,0.017070143,,0.436531485,,44820,37480,0.109557378,2.043663346,,3970,,80,13.19513821,0.087676074,93.18356464,96.12181161,,,,5.518745809,10.15,1362,15.36542908,
Belize,BLZ,2010,-6.459314401,-80011575.94,1.242413863,15389789.84,17.82851036,220841891.5,6.471428571,80161634.25,5.056707508,62637473.83,11.19688876,0,0,0,0,-6.631621602,-82145946.52,,,120,7410.700195,,399928,0,,,0.495431771,,,31.88366548,540,210,0,0,51.32012255,140,,10,4.858489664,2.305417005,93.93747934,85.62770732,,20.53200455,7.473733038,,,407338.6875,5.353921435,13.05827151
Botswana,BWA,2016,20.68924723,2979251600,1.581414346,227723665.9,23.71196381,3414522788,9.48,1365120000,0.185615993,26728702.94,36.8,0.047869742,6893242.845,0,0,13.02414731,1875477212,,,1720,15,,938,0.255633898,,,0.408483025,,,,3870,1560,0.057260141,0,,2430,,680,0,11.55621205,89.40444271,76.01731234,,,,29.14329184,29.14,953,0.721377064,
Early-demographic dividend,EAR,2016,13.06057854,,2.628170945,,12.34906813,,3.933769343,,1.257647798,,25.79843165,0.238738257,,0.197997332,,13.44936353,,,,725060,30754529.82,,30906646.68,0.30994656,,,0.406694272,,2.215183318,,2629630,666240,0.389907261,0.318657628,,865900,,63220,2.408162906,15.69940394,88.58787917,66.43063532,,,,9.576068099,12.78160508,61661176.32,3.833368628,
Iceland,ISL,2019,17.23663476,4246113040,0.352591842,86858301.58,15.35769304,3783250129,7.467096785,1839462138,0,0,25.47982286,0,0,0,0,10.12212982,2493509204,,,,,,,0,,,0.000117414,,,,,,0,0,,,,,0,0,99.99999775,98.78110168,,,,,,,0.000117414,
"Korea, Rep.",KOR,2014,19.28864773,2.8769E+11,1.324745655,19758581447,18.79758928,2.80366E+11,4.595769107,68545896233,0.002711032,40435040.94,34.81852526,0.000647313,9654669.851,0,0,16.02098263,2.38953E+11,,,4630,1567442,,1756047,0.002042033,,,0.017002268,,,,26170,7160,0.002295877,0.002174265,,10300,,4090,0.000814937,0,99.38101636,99.96610742,,,,,,3323489,0.024329381,
Sri Lanka,LKA,2014,23.77350293,18435960981,0.777806355,603176051,7.485635375,5804987263,1.587121443,1230786607,0,0,30.49955826,0.001246002,966253.8891,0.048489048,37602460.06,23.01392289,17846919139,,,2300,34220.30078,,530482,0,,,0.106442954,,,,9220,2310,0.004538991,0,,3110,,420,0,1.101579785,89.41811478,89.76742397,,,,,,564702.3125,0.110981946,
Mozambique,MOZ,2013,-1.873026471,-316836117.3,0.802753024,135791541.3,16.28545822,2754804286,5.38,910066321.9,2.546570247,430770969.9,12.39343786,0.011682841,1976237.969,0,0,-3.892020359,-658363690,,,9210,721,,244078,1.490045112,,,7.032657743,,,,15850,3160,0.015663392,3.916125121,,10680,,1180,0.275890894,34.25927363,46.50550282,26.27194172,,,,,,244799,12.73038226,
Pakistan,PAK,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.303359668,90.14896508,68.39731114,,,,,,,,
Peru,PER,2019,11.85652461,25641631506,1.121998152,2426500523,9.633231447,20833404321,3.438189919,7435635809,0.260772485,563962223.3,20.00956603,0.575224155,1244014270,0,0,10.37632948,22440472713,,,,,,,0.002213504,,,0.119651183,,,,,,1.033032317,0.191987027,,,,,0.31416627,5.018280148,92.57507195,77.8836449,,,,,,,1.661050301,
South Asia,SAS,2011,21.43391839,,2.768466181,,9.699558141,,2.821597837,,1.358868861,,33.33182889,0.597218929,,0.295396227,,23.63227075,,,,299140,5389065.222,,6963216,1.63528139,,,0.348837502,,,28.52337705,935140,157250,1.149390992,0.308720791,43.22418731,341040,,19580,1.175162583,34.58799778,86.7840478,45.89429684,,,,,,12352281.22,4.617393257,
South Asia,SAS,2017,19.413926,,3.278346436,,9.692106867,,2.815432212,,0.428490786,,30.33581037,0.165634167,,0.172738324,,20.6437035,,,,308690,8767825.262,,8565331,0.752880875,,,0.203604718,,0.458209905,,1011970,197910,0.365584521,0.094172458,,356740,,23750,0.287620542,19.51687308,89.48134528,61.48948226,,,,4.978716575,7.291570796,17333156.29,1.703863114,
Europe & Central Asia (IDA & IBRD countries),TEC,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03090542,96.66784338,94.83358308,,,,,,,,
Benin,BEN,2019,10.34099216,1473305393,2.216867919,315842369,10.95261161,1560444250,2.933139279,417891228.6,0.082035878,11687843.8,21.93825296,0,0,1.278884673,182205697.2,10.98564135,1565150074,,,,,,,0,,,1.917290886,,,,,,0,0,,,,,0.116143495,52.3370626,65.29850262,16.51526543,,,,,,,2.033434381,
Chile,CHL,2019,5.580592497,15121898906,1.329489816,3602558438,17.04926465,46198903911,5.286159186,14324064131,0.004301911,11657017.69,19.66361861,0.986111965,2672097174,0,0,2.614337002,7084147405,,,,,,,0.010741102,,,0.691613234,,,,,,1.582313589,,,,,,0.015442066,0,99.99999614,99.99999614,,,,,,,2.300109992,
European Union,EUU,2015,10.40234213,,0.747210946,,17.4291057,,4.685850683,,0.060354778,,23.96140635,0.007627463,,0.000616014,,6.53230065,,,,176920,1052810.111,,4692707.994,0.013882272,,,0.060062423,,,,408010,79740,0.015954553,0.042101718,,218380,,26520,0.029317691,0,99.82739282,98.04487609,,,,,,5745518.104,0.161318656,
Croatia,HRV,2016,10.63063886,5321487330,1.254777805,628116924.5,15.62257265,7820350543,3.983357514,1993989902,0.243651984,121967359,23.76829606,1.22758E-05,6144.998173,0,0,8.145723415,4077587857,,,1170,15804.75879,,73305.5,0,,,0.231205096,,8.540921417,,3740,590,0.000218976,0.142559739,,1630,,210,0.16080547,0,,96.51257245,,,,23.50640991,38.11,89110.25781,0.534789281,
Israel,ISR,2010,13.39087517,30753350011,0.85628821,1966542941,13.8648484,31841872187,5.35,12286756500,0.032699947,75098372.14,22.83135094,0.036654224,84179723.69,0,0,8.966517553,20592414548,,,810,19895,,2612,0,,,0.000197024,,,75.30651562,8210,850,0.088783842,0.079471173,6.254354364,1990,,200,0.001046729,0,100.0000017,100.0000017,,1.565873017,0.316554389,,,22507,0.169498768,1.249318628
Late-demographic dividend,LTE,2018,20.01314195,,2.733705793,,15.26447551,,2.85127483,,1.838842565,,37.23018135,0.214137614,,0.017152747,,21.96570584,,,,725370,74694756.85,1303,35275282.86,0.432533155,,1786,0.256614516,800,8.982774263,,3217690,1706310,0.365481119,0.57374439,,986500,,82380,2.33989361,0.618571639,94.75352798,90.03829027,4688,,,13.97951151,15.45452685,109970037.7,3.96826679,
Myanmar,MMR,2012,30.19137401,17376890165,0.648819484,373433316.1,2.435274898,1401642218,0.853612498,491303596.4,2.19191113,1261572227,34.97299493,0.153476443,88334611.32,0.205751469,118421926.6,32.53772003,18727348650,,,16890,888369,,1962231,0.055086027,,,3.152984971,,,-3.996042523,62740,2890,0.224809551,1.853363018,-39.5668497,18250,,590,0.911148934,8.236150048,67.81136109,69.80753111,,,,,,2850600,6.197392502,
Nigeria,NGA,2018,1.828144074,6926234609,1.240749073,4700788791,12.69531016,48098340728,0.85,3220369500,4.444425918,16838463142,20.19421337,0.003068436,11625289.61,0.832502764,3154078248,7.498890265,28410820579,,,30410,291323,21,878155,0.000424264,,74,1.132660265,31,0.016709309,,127900,70680,0.017468575,1.467628281,,37420,,4350,8.840770487,19.44317572,74.07084579,40.91261014,205,,,11.61069961,13.92958361,1169478,11.45895187,
Poland,POL,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,99.96659155,100.0000026,,,,,,,,
South Asia,SAS,2015,20.16828607,,3.428943917,,9.656844395,,2.806706198,,0.460623538,,31.2620577,0.114259788,,0.239806192,,21.60521331,,,,303700,7564220.75,,7648454,0.598006775,,,0.282940804,,,,989370,194520,0.22438321,0.170771442,,350210,,22770,0.310606683,24.48064193,88.58639174,56.26295399,,,,,,15212674.75,1.586708914,
San Marino,SMR,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,100,100,,,,,,,,
Sint Maarten (Dutch part),SXM,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,ZWE,2012,-28.76052517,-4285684545,1.640893143,244513976.7,10.82170445,1612571788,1.91,284614325.8,0.342676469,51063158.19,-16.14742415,1.717826954,255978094.4,0,0,-26.96912861,-4018743641,,,5220,8090,,101071,1.029756214,,,2.974270741,,,-16.25559423,11730,1860,1.961655475,0,-38.13447393,6510,,1150,0,26.5332314,66.49118469,39.92942468,,,,,,109161,5.96568243,
China,CHN,2016,25.3677802,2.83822E+12,3.175907431,3.5533E+11,17.30620027,1.93627E+12,1.79,2.00271E+11,0.461154063,51595300012,44.65504125,0.134088838,15002261443,0,0,27.34893053,3.05988E+12,,,357550,62318376,,16019262,0.413619945,,,0.104776936,,3.766775077,,1242150,743880,0.185154766,0.088815268,,546990,,47440,0.254905626,0.592493964,92.31599823,86.08596623,,,,15.93928031,17.08,78337640,1.047272542,
"Egypt, Arab Rep.",EGY,2012,2.294312498,6255144764,2.507331655,6835913805,5.03562213,13728969105,4.4111256,12026360502,7.20794418,19651522775,13.18426999,0.334718444,912566324.5,0.21547958,587477061.2,8.148660757,22216264228,,,14560,1017738,,354174,0,,,0.215454421,,,92.55355754,56000,14610,0.501480375,2.011148569,31.69492832,22630,,500,8.206369614,0.362394552,98.86391957,94.91066202,,,,,,1371912,10.93445298,
United Kingdom,GBR,2013,1.087635512,29653729663,0.540367284,14732789769,14.77434892,4.02814E+11,5.37,1.4641E+11,0.656125542,17888869225,11.68853915,2.49599E-05,680515.9709,0,0,-3.085846702,-84133758827,,,23090,203263,,632373,0.006615698,,,0.006196506,,,,56720,8760,3.17777E-05,0.177737727,,28310,,3660,0.572454255,0,99.9999985,99.11485603,,,,,,835636,0.763035963,
Ireland,IRL,2011,8.267008272,15916471026,0.551613561,1062021588,17.05317963,32832486734,6.67,12841751000,0.008883965,17104298.66,19.28052917,0.069879108,134538246.8,0,0,2.227384906,4288384160,,,8390,44266.32031,,243466,0,,,0.018073092,,,2.866010743,14400,270,0.061606528,0.014209039,-13.67553395,8870,,350,0,0,97.32507306,90.65576339,,,,,,287732.3125,0.093888659,
Lao PDR,LAO,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.48997195,85.21974318,79.48011751,,,,,,,,
