Country Name,Country Code,Year,average_value_DEC alternative conversion factor (LCU per US$),average_value_Discrepancy in expenditure estimate of GDP (current LCU),average_value_GDP (constant 2010 US$),average_value_GDP (constant LCU),average_value_GDP (current LCU),average_value_GDP (current US$),average_value_GDP deflator (base year varies by country),average_value_GDP growth (annual %),average_value_GDP per capita (constant 2010 US$),average_value_GDP per capita (constant LCU),average_value_GDP per capita (current LCU),average_value_GDP per capita (current US$),average_value_GDP per capita growth (annual %),"average_value_GDP per capita, PPP (constant 2017 international $)","average_value_GDP per capita, PPP (current international $)","average_value_GDP, PPP (constant 2017 international $)","average_value_GDP, PPP (current international $)",average_value_GDP: linked series (current LCU),average_value_GNI (constant 2010 US$),average_value_GNI (current LCU),average_value_GNI (current US$),average_value_GNI per capita (constant 2010 US$),average_value_GNI per capita (current LCU),"average_value_GNI per capita, Atlas method (current US$)","average_value_GNI per capita, PPP (constant 2017 international $)","average_value_GNI per capita, PPP (current international $)","average_value_GNI, Atlas method (current US$)","average_value_GNI, PPP (constant 2017 international $)","average_value_GNI, PPP (current international $)",average_value_GNI: linked series (current LCU),average_value_Gross domestic savings (% of GDP),average_value_Gross domestic savings (current LCU),average_value_Gross domestic savings (current US$),average_value_Gross savings (% of GDP),average_value_Gross savings (% of GNI),average_value_Gross savings (current LCU),average_value_Gross savings (current US$),average_value_Gross value added at basic prices (GVA) (constant LCU),average_value_Gross value added at basic prices (GVA) (current LCU),average_value_Gross value added at basic prices (GVA) (current US$),average_value_Net primary income (Net income from abroad) (current LCU),average_value_Net primary income (Net income from abroad) (current US$),average_value_Net secondary income (Net current transfers from abroad) (current LCU),average_value_Net secondary income (Net current transfers from abroad) (current US$),"average_value_PPP conversion factor, GDP (LCU per international $)","average_value_PPP conversion factor, private consumption (LCU per international $)",average_value_Price level ratio of PPP conversion factor (GDP) to market exchange rate,average_value_Taxes less subsidies on products (constant LCU),average_value_Taxes less subsidies on products (current LCU),average_value_Taxes less subsidies on products (current US$)
Senegal,SEN,2014,493.7573,0,18483206547,9.77504E+12,9.77504E+12,19797254643,100,6.224074438,1303.953832,689609.7565,689609.7565,1396.657339,3.284135302,2868.315877,2830.697309,40657631795,40124398371,9.77504E+12,18126356136,9.58853E+12,19419518456,1278.778739,676451.8432,1370,2816.843144,2780,19372507311,39928019190,39358815590,9.58853E+12,10.99485127,1.07475E+12,2176678704,19.00427693,19.3739361,1.85768E+12,3762325096,8.81023E+12,8.81023E+12,17843246064,-1.8651E+11,-377736187.4,9.6943E+11,1963373504,243.6183319,239.810257,0.493396922,9.64806E+11,9.64806E+11,1954008579
South Asia (IDA & IBRD),TSA,2012,,,2.28581E+12,,,2.30018E+12,,5.499393795,1357.577288,,,1366.115421,4.107871989,4397.798925,4572.168679,7.40475E+12,7.69835E+12,,2.27022E+12,,2.28532E+12,1348.320377,,1390.227472,4367.233166,4542.639635,2.34078E+12,7.35329E+12,7.64863E+12,,29.35465086,,6.75161E+11,33.49845327,33.62919607,,,,,2.14159E+12,,,,,,,,,,
Turkey,TUR,2012,1.796,0,9.0539E+11,1.2715E+12,1.58148E+12,8.80556E+11,124.37929,4.788492711,12128.29628,17032.54432,21184.95769,11795.63346,3.093101823,22610.68277,20772.49895,1.68791E+12,1.55069E+12,1.58148E+12,8.98769E+11,1.56965E+12,8.73968E+11,12039.60006,21026.45952,11960,22438.81884,20620,8.92786E+11,1.67508E+12,1.53909E+12,1.56965E+12,23.96380812,3.78983E+11,2.11015E+11,23.38042655,23.55666901,3.69757E+11,2.05878E+11,1.12741E+12,1.39722E+12,7.77962E+11,-11832053490,-6588003057,2605997209,1451000673,1.019856,1.230462,0.567848552,1.44223E+11,1.84259E+11,1.02594E+11
Tanzania,TZA,2019,2288.2067,-7.04141E+12,55482146264,1.20108E+14,1.39894E+14,61136873747,116.4733356,5.791371376,985.4482081,2133302.872,2484729.014,1085.884861,2.710959131,2660.420433,2772.929448,1.49785E+11,1.5612E+11,1.39894E+14,56133519012,1.41659E+14,61908444374,997.0175894,2516087.241,1100,2693.318102,2810,62136707052,1.51638E+11,1.5809E+11,1.41659E+14,33.67806843,4.71135E+13,20589718176,35.62465852,35.18066513,4.98367E+13,21779802503,1.1073E+14,1.28608E+14,56204827125,1.76551E+12,771570627.1,,,896.0664385,774.7405791,0.391602052,9.38829E+12,1.12855E+13,4932046567
Argentina,ARG,2011,4.1101,-100,4.49062E+11,7.10782E+11,2.17902E+12,5.30163E+11,306.5673214,6.003951693,10883.31536,17226.27072,52810.11674,12848.8642,4.788683139,24647.62927,19322.22712,1.017E+12,7.97264E+11,2.17902E+12,4.36034E+11,2.11707E+12,5.1509E+11,10567.58271,51308.67282,10710,23946.29396,18770,4.42107E+11,9.8806E+11,7.74597E+11,2.11707E+12,20.0907222,4.37782E+11,1.06514E+11,17.34843039,17.85609691,3.78026E+11,91975007880,5.9352E+11,1.83089E+12,4.45461E+11,-61951813100,-15073067103,2196613600,534442860.3,2.733127832,3.161163568,0.664978427,1.17261E+11,3.48135E+11,84702426705
Australia,AUS,2018,1.2901,2000000,1.41982E+12,1.91138E+12,1.84856E+12,1.43288E+12,96.71357179,2.949285772,56832.05048,76508.02027,73993.63912,57354.96405,1.379960221,49151.68871,50252.84046,1.22794E+12,1.25545E+12,1.84856E+12,,1.78995E+12,1.38745E+12,,71647.53448,53190,,48660,1.32894E+12,,1.21564E+12,1.78995E+12,24.90992989,4.60475E+11,3.5693E+11,21.69478471,22.40518229,4.01041E+11,3.1086E+11,1.78387E+12,1.72416E+12,1.33646E+12,-58612000000,-45432137044,-883000000,-684443066.4,1.472427,1.555354,1.141327804,1.27472E+11,1.24398E+11,96425083327
Austria,AUT,2020,0.875506397,-1202010000,4.19186E+11,3.49401E+11,3.75562E+11,4.28965E+11,107.4872913,-6.590410425,47008.71043,39182.82242,42116.55446,48105.36462,-6.980978608,51935.60386,55097.46123,4.6312E+11,4.91315E+11,3.75562E+11,,,,,,,,,,,,,28.64597705,1.07583E+11,1.22881E+11,,,,,,,,,,,,0.764401,0.842973,0.873095848,36369770000,39438720000,45046752526
Bhutan,BTN,2012,53.4372,282300,1757118757,50646073600,95186684100,1781281282,187.9448442,5.118400858,2504.509461,72188.38796,135674.3532,2538.949519,3.877054941,9084.004455,7912.144645,6373174014,5551018264,95186684100,1617655893,87592684100,1639170542,2305.726049,124850.2443,2390,8355.07968,7280,1678864074,5861773512,5108157657,87592684100,44.59265453,42446269200,794320608.1,48.69863906,52.92065222,46354619724,867459742,47743073600,89373684100,1672499384,-7594000000,-142110739.3,8888110000,166328138.5,17.1476078,17.40751839,0.320892708,2903000000,5813000000,108781897.3
Botswana,BWA,2014,8.9761,2735340600,16425384697,87569472700,1.45869E+11,16250781587,166.5747618,4.149262255,7864.232154,41926.97313,69839.75565,7780.634758,2.849377993,17264.3958,16300.82951,36058745098,34046222231,1.45869E+11,15903570041,1.41635E+11,15779133755,7614.394986,67812.79041,7520,16822.81491,15830,15706323344,35136450847,33058095796,1.41635E+11,33.12311707,48316240600,5382765410,40.74493952,41.96283035,59434089390,6621371129,77989288100,1.32636E+11,14776613975,-4233558100,-471647831.5,15351378400,1710250376,4.28442955,4.721345425,0.477315265,9580183700,13232276500,1474167679
Switzerland,CHE,2012,0.937684481,0,6.22509E+11,6.37232E+11,6.48981E+11,6.9211E+11,101.8437072,1.217193657,77844.18779,79685.24525,81154.40784,86547.67089,0.148135707,66440.28702,59933.59868,5.31314E+11,4.79281E+11,6.48981E+11,6.35046E+11,6.62067E+11,7.06066E+11,79411.89077,82790.85381,87770,67763.26037,61140,7.01849E+11,5.41893E+11,4.88945E+11,6.62067E+11,36.37995041,2.36099E+11,2.51789E+11,37.19033853,36.45523342,2.41358E+11,2.57398E+11,5.98498E+11,6.05344E+11,6.45573E+11,13086431000,13956113457,-15486767000,-16515968131,1.354072,1.506301,1.444059306,20062261000,21075244000,22475837484
Cote d'Ivoire,CIV,2017,580.6567,0,39118651332,3.11673E+13,2.9955E+13,51588158718,96.11044943,7.359638088,1600.764863,1275388.599,1225781.714,2111.026557,4.658899564,4830.750515,4830.750515,1.18051E+11,1.18051E+11,2.9955E+13,37951640196,2.9063E+13,50051967023,1553.009883,1189280.398,2030,4686.900473,4690,49580100955,1.14536E+11,1.14536E+11,2.9063E+13,21.42139161,6.41678E+12,11050901505,17.44168053,17.97699944,5.22466E+12,8997841833,2.87917E+13,2.77271E+13,47751361519,-8.92E+11,-1536191695,-3E+11,-516656399.6,253.7456055,247.1344299,0.436997636,2.4517E+12,2.22786E+12,3836797199
Cameroon,CMR,2013,493.8996,0,30027528839,1.28927E+13,1.59813E+13,32357345501,123.955566,5.40426571,1360.108747,583982.1446,723878.3728,1465.63871,2.577706138,3262.763299,3002.610509,72033004180,66289532991,1.59813E+13,29439394414,1.56753E+13,31737786384,1333.468966,710017.9823,1430,3199.621163,2950,31500575216,70638996301,65020260624,1.56753E+13,18.58074572,2.96944E+12,6012236090,17.60713781,17.95084995,2.81385E+12,5697202413,1.20958E+13,1.50221E+13,30415351622,-3.06E+11,-619559116.9,1.5E+11,303705449.4,241.0830078,241.1377563,0.488121488,7.96922E+11,9.5915E+11,1941993879
Algeria,DZA,2014,80.579,-13946700000,1.83025E+11,1.72967E+13,1.72286E+13,2.1381E+11,99.60639506,3.8,4702.157063,444374.0912,442625.0128,5493.056663,1.710454904,11512.70511,13003.26678,4.48117E+11,5.06135E+11,1.72286E+13,1.79182E+11,1.68403E+13,2.08991E+11,4603.416087,432649.1107,5490,11247.57672,12710,2.13777E+11,4.37797E+11,4.94728E+11,1.68403E+13,44.1066217,7.59895E+12,94304378312,43.35388468,44.35352642,7.46927E+12,92694951115,1.5988E+13,1.59865E+13,1.98395E+11,-3.88299E+11,-4818863476,2.58552E+11,3208677199,34.03952408,34.52148056,0.422436666,1.27963E+12,1.2421E+12,15414636568
"Egypt, Arab Rep.",EGY,2010,5.51,0,2.18984E+11,2.79542E+12,1.2066E+12,2.18984E+11,43.16346897,5.147234859,2645.968759,33776.91416,14579.28786,2645.968759,3.080841972,10340.07323,9522.509163,8.55757E+11,7.88095E+11,1.2066E+12,2.14619E+11,1.18255E+12,2.14619E+11,2593.230306,14288.69898,2370,10135.98601,9330,1.96292E+11,8.38867E+11,7.72387E+11,1.18255E+12,14.26321896,1.721E+11,31234119782,17.95038894,18.31544551,2.16589E+11,39308419782,2.84537E+12,1.15059E+12,2.08818E+11,-24049497000,-4364700000,57653334000,10463400000,1.53103427,1.607071321,0.277864659,,56010400000,10165226860
Fragile and conflict affected situations,FCS,2012,,,1.65E+12,,,1.77615E+12,,7.72718526,2135.247595,,,2298.502511,5.09463999,,4456.266557,,3.44355E+12,,1.63737E+12,,1.72807E+12,2118.905577,,2150.652661,,4348.926204,1.6619E+12,,3.3606E+12,,27.89814926,,4.97191E+11,28.35880607,29.87120409,,,,,1.75462E+12,,,,,,,,,,
IDA only,IDX,2011,,,8.07456E+11,,,8.51164E+11,,4.313435976,868.6003148,,,915.6179926,2.034501489,2580.578335,2340.973598,2.39892E+12,2.17618E+12,,8.10025E+11,,8.3949E+11,871.3634864,,862.7412266,2579.455192,2323.52025,8.0201E+11,2.39788E+12,2.15996E+12,,17.73057365,,1.45655E+11,24.35840427,23.53004405,,,,,8.01941E+11,,,,,,,,,,
Japan,JPN,2010,87.779875,0,5.7001E+12,5.05718E+14,5.00354E+14,5.7001E+12,98.93940277,4.191739259,44507.67639,3948758.695,3906878.27,44507.67639,4.173027538,37586.16715,34986.99454,4.81366E+12,4.48078E+12,5.00354E+14,5.84734E+12,5.13279E+14,5.84734E+12,45657.38606,4007799.641,43440,38556.52244,35890,5.56286E+12,4.93793E+12,4.59653E+12,5.13279E+14,22.75799189,1.13871E+14,1.29723E+12,25.12370501,24.49105892,1.25707E+14,1.43208E+12,5.03893E+14,4.99136E+14,5.68623E+12,1.2925E+13,1.47243E+11,-8.496E+11,-9678756093,111.666587,121.030128,1.272120597,,1.9487E+12,22199849339
Cambodia,KHM,2013,4027.25,6.20412E+11,13867654630,3.75033E+13,6.13269E+13,15227991395,163.5239604,7.356665149,922.8903285,2495840.88,4081297.852,1013.420536,5.599986878,3191.861745,3045.590961,47961967888,45764054823,6.13269E+13,13254608298,5.86986E+13,14575360631,882.0921874,3906384.4,970,3062.342747,2920,14539145937,46015772694,43802730491,5.86986E+13,15.74994842,9.65896E+12,2398400790,21.06491893,22.00812812,1.29185E+13,3207764042,3.43125E+13,5.70231E+13,14159308942,-2.62831E+12,-652630763.7,1.53073E+12,380091874.1,1340.067627,1462.346069,0.332750047,3.24198E+12,4.40426E+12,1093614844
Latin America & Caribbean (excluding high income),LAC,2016,,,5.05558E+12,,,4.52716E+12,,-0.492067199,8856.403758,,,7930.715055,-1.576342408,15247.58877,14790.74108,8.70391E+12,8.44312E+12,,4.93515E+12,,4.41601E+12,8645.438847,,8086.359388,14858.67196,14420.87721,4.61601E+12,8.4819E+12,8.23199E+12,,17.65621278,,8.10194E+11,16.81545119,17.57905899,,,,,4.04619E+12,,,,,,,,,,
Luxembourg,LUX,2011,0.719355254,0,54563667056,46335799000,43164646000,60004630234,93.15614909,2.539235768,105264.7494,89391.46749,83273.64873,115761.5077,0.285278376,108010.7086,92005.01684,55987026756,47690524462,43164646000,37523338515,29803200000,41430433503,72390.38427,57496.61906,76260,75320.48556,63530,39529908916,39042147731,32928110627,29803200000,51.97567009,22435114000,31187808649,20.7658504,30.07564897,8963505813,12460471746,42157622000,38739035000,53852439119,-13361400000,-18574132785,-171100000,-237851880.8,0.905099,0.969149,1.258208647,4214790000,4425611000,6152191115
St. Martin (French part),MAF,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,2010,,,4.51154E+13,,,4.51154E+13,,2.953657317,34916.01774,,,34916.01774,2.278314491,39244.19627,34401.21686,5.07078E+13,4.44502E+13,,4.53344E+13,,4.53344E+13,35085.54752,,35347.92309,39650.60259,34502.54388,4.56734E+13,5.1233E+13,4.45811E+13,,20.44229799,,9.25525E+12,20.25372873,20.20834332,,,,,4.22851E+13,,,,,,,,,,
Peru,PER,2015,3.1844,0,1.86305E+11,4.82506E+11,6.04416E+11,1.89805E+11,125.2660071,3.252244772,6114.226211,15835.06065,19835.94819,6229.100674,1.963344408,12110.2669,11572.32079,3.69009E+11,3.52617E+11,6.04416E+11,1.80271E+11,5.8372E+11,1.83306E+11,5916.215829,19156.73919,6340,11705.74373,11180,1.93153E+11,3.56683E+11,3.40543E+11,5.8372E+11,21.71699624,1.31261E+11,41220010049,20.04791647,20.75872247,1.21173E+11,38052008171,4.38189E+11,5.52594E+11,1.73532E+11,-20696000000,-6499183520,12809000000,4022421806,1.714085579,1.769978881,0.538275838,44317000000,51822000000,16273709333
Sao Tome and Principe,STP,2017,21.9139,,265821296.2,4080697000,8231170400,375614126.2,201.7099138,3.848980918,1283.627557,19705.32532,39747.59472,1813.807434,1.910770169,3952.945394,3952.945394,818599649.9,818599649.9,8231170400,,8206889800,374506126.2,,39630.34585,1700,3941.284855,3940,351274714.5,816184915.4,816184915.4,8206889800,,,,,,,,3931858900,8327654600,380017002.9,-24280600,-1107999.945,1279771800,58400001.83,10.05518436,10.75707436,0.458849605,386964700,404147300,18442509.09
Syrian Arab Republic,SYR,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,THA,2010,31.6857,1.02156E+11,3.41105E+11,8.2324E+12,1.08081E+13,3.41105E+11,131.2879628,7.513390533,5076.339872,122514.9502,160847.3823,5076.339872,6.988267191,14399.04451,13195.3711,9.67544E+11,8.86663E+11,1.08081E+13,3.26815E+11,1.03554E+13,3.26815E+11,4863.684571,154109.2502,4580,,12640,3.0801E+11,,8.4952E+11,1.03554E+13,32.02365438,3.46116E+12,1.09234E+11,29.6275904,30.92300009,3.20219E+12,1.01061E+11,,,,-4.52769E+11,-14289379752,1.93014E+11,6091514784,12.18968236,12.67855596,0.384706109,,,
Tajikistan,TJK,2017,8.5497,1400600000,9059439284,6266608400,64434300000,7536439875,1028.216475,7.100001403,1020.176108,705.6776877,7255.894246,848.6723799,4.486563433,3252.932655,3252.932655,28886920271,28886920271,64434300000,,73845800000,8637238734,,8315.715626,1030,3728.067416,3730,9110554255,33106245229,33106245229,73845800000,8.174062572,5266900000,616033311.1,30.51052347,26.62201808,19659242226,2299407257,5793728700,58097200000,6795232581,9411500000,1100798858,4872700000,569926430.2,2.230570078,2.594828367,0.260894543,473975500,6337100000,741207293.8
Middle East & North Africa (IDA & IBRD countries),TMN,2015,,,1.46686E+12,,,1.41442E+12,,1.013463552,4077.938273,,,3932.172284,-0.741404308,10247.21437,10675.51606,3.68598E+12,3.84004E+12,,1.51164E+12,,1.3988E+12,4202.43288,,4167.122833,10585.14906,10552.27118,1.49894E+12,3.80754E+12,3.79571E+12,,26.07176966,,2.8515E+11,,,,,,,1.41217E+12,,,,,,,,,,
Vietnam,VNM,2010,18612.9167,-7.7E+11,1.15932E+11,2157828000000000,2157828000000000,1.15932E+11,100,6.423238217,1317.890646,24529788.82,24529788.82,1317.890646,5.364173555,5089.411016,4213.295721,4.47704E+11,3.70634E+11,2157828000000000,1.11513E+11,2075578000000000,1.11513E+11,1267.656566,23594786.06,1250,4920.812466,4050,1.10302E+11,4.32872E+11,3.56506E+11,2075578000000000,27.44546831,5.92226E+14,31818011628,30.43518057,31.64125117,6.56739E+14,35284037358,1887082000000000,1887082000000000,1.01386E+11,-8.225E+13,-4418974271,1.50953E+14,8110104870,5821.995521,6543.809272,0.312793294,2.70746E+14,2.70746E+14,14546135050
Africa Eastern and Southern,AFE,2010,,,8.03689E+11,,,8.03689E+11,,4.809783086,1550.121225,,,1550.121225,2.007226785,3273.44737,3002.385242,1.69718E+12,1.55664E+12,,7.77538E+11,,7.77538E+11,1499.683904,,1376.261788,3081.787132,2907.875176,7.13548E+11,1.59781E+12,1.50764E+12,,23.58119537,,1.81815E+11,22.05275828,22.42024511,,,,,7.404E+11,,,,,,,,,,
United Arab Emirates,ARE,2017,3.6725,0,3.93342E+11,1.44455E+12,1.41614E+12,3.85606E+11,98.03310702,2.37353671,41460.27034,152262.8428,149267.9956,40644.79119,1.011416618,67183.60531,67183.60531,6.37385E+11,6.37385E+11,1.41614E+12,3.96137E+11,1.42634E+12,3.88383E+11,41754.83393,150343.1278,39290,67667.50846,67670,3.7275E+11,6.41976E+11,6.41976E+11,1.42634E+12,49.48114701,7.0072E+11,1.90802E+11,,,,,,,,10200000000,2777399592,-1.513E+11,-41198093941,2.221791983,2.834843874,0.604980799,,,
Bolivia,BOL,2017,6.91,100,27880909340,46235899800,2.59185E+11,37508642171,560.5702896,4.195206334,2490.956447,4130.841332,23156.26922,3351.124344,2.696155263,8423.69756,8423.69756,94285208502,94285208502,2.59185E+11,27148775015,2.51517E+11,36398995789,2425.54557,22471.21988,3090,8174.492977,8170,34575847668,91495898240,91495898240,2.51517E+11,15.32392234,39717264800,5747795195,16.05702893,16.5465376,41617365049,6022773524,40566669000,2.13254E+11,30861701563,-7667656500,-1109646382,9567756700,1384624703,2.748943567,2.611933947,0.397821066,5669230800,45930359600,6646940608
Central Europe and the Baltics,CEB,2020,,,1.67006E+12,,,1.64437E+12,,-3.977920889,16333.72249,,,16082.45771,-3.834979498,31329.49953,33711.85908,3.20333E+12,3.44691E+12,,,,,,,,,32942.61523,,,3.36826E+12,,24.74398055,,4.05576E+11,,20.66045992,,,,,,,,,,,,,,,
Cabo Verde,CPV,2017,97.8069,0,1945535441,1.52337E+11,1.73097E+11,1769787215,113.6280029,3.702039188,3619.607554,283418.0549,322042.2758,3292.633503,2.475169431,6643.179892,6643.179892,3570702549,3570702549,1.73097E+11,1878195186,1.67126E+11,1708731942,3494.323127,310932.2514,3080,6413.999141,6410,1655261811,3447518124,3447518124,1.67126E+11,16.7558277,29003902300,296542496.5,30.54509239,31.63650931,52872761113,540583140,1.30495E+11,1.49154E+11,1524981748,-5971627000,-61055273.2,29671589500,303369082.3,48.47712708,47.61211014,0.495641177,20595907600,23943663800,244805466.7
Europe & Central Asia (excluding high income),ECA,2018,,,4.02232E+12,,,3.42159E+12,,3.17523208,9647.444696,,,8206.596661,2.670763885,21673.72681,22479.50295,9.03646E+12,9.37241E+12,,3.89206E+12,,3.33721E+12,9335.000018,,7864.362419,20802.04675,21968.49738,3.2789E+12,8.67303E+12,9.15936E+12,,28.66017223,,1.00496E+12,27.00700488,27.66072251,,,,,3.04414E+12,,,,,,,,,,
Fiji,FJI,2019,2.1604,1546599391,4217157352,10685700000,11874100000,5496250694,111.1214052,-0.4453347,4738.618641,12007.01159,13342.36001,6175.874841,-1.168540829,13684.36082,14263.07159,12178465330,12693491874,11874100000,,10900100000,5045408258,,12247.92265,5800,,13090,5163256382,,11652279396,10900100000,18.57151279,2205200000,1020736901,16.25127619,17.70344113,1929692786,893210880.5,8086686600,9667900000,4475050916,-974000000,-450842436.6,690277800,319513886.3,0.935447875,1.001333755,0.432997535,2598980300,2206200000,1021199778
Greece,GRC,2013,0.753159182,-3000,2.41025E+11,1.75613E+11,1.79616E+11,2.38484E+11,102.2799385,-2.741772076,21980.85429,16015.4319,16380.57389,21749.15248,-2.033969318,27797.54473,25947.94418,3.04806E+11,2.84525E+11,1.79616E+11,2.40912E+11,1.79596E+11,2.38456E+11,21970.57453,16378.67935,22370,27794.35058,25940,2.45264E+11,3.04771E+11,2.84492E+11,1.79596E+11,9.496002229,17056382000,22646450327,10.48818746,10.48940064,18838509879,25012653810,1.56902E+11,1.60237E+11,2.12753E+11,-21508000,-28557044.14,1479844000,1964848913,0.631286,0.719861,0.838184032,19901364000,20417614000,27109294412
Haiti,HTI,2016,60.373,100,13715049740,6.28024E+11,8.28515E+11,13723267961,131.9241364,1.722544838,1265.228792,57935.89494,76431.42905,1265.986932,0.367154616,2952.617094,3025.732726,32006298439,32798870135,8.28515E+11,13765686930,8.31408E+11,13771193996,1269.90013,76698.35202,1330,2962.895292,3040,14446502730,32117713858,32913414265,8.31408E+11,-7.095564616,-58787807000,-973743345.5,11.20316681,11.16417794,92819901458,1537440602,5.98458E+11,7.9139E+11,13108342145,2893438600,47926036.47,1.48782E+11,2464374212,25.26046944,27.21185684,0.418406729,29565879200,37124916300,614925816.2
Cambodia,KHM,2018,4051.1669,2.6396E+12,19542411046,5.285E+13,9.95443E+13,24571753584,188.3524805,7.469169207,1202.625082,3252348.357,6125878.806,1512.126989,5.879385839,4159.338194,4259.203119,67588392994,69211177545,9.95443E+13,18088435871,9.28333E+13,22915193840,1113.148558,5712888.981,1380,3864.496775,3970,22461211018,62797280369,64545151162,9.28333E+13,24.3927868,2.42816E+13,5993735464,25.30613673,27.13553986,2.51908E+13,6218161558,4.8009E+13,9.20939E+13,22732687399,-6.711E+12,-1656559743,1.85988E+12,459096118.7,1438.268764,1489.021759,0.355025799,4.91792E+12,7.61656E+12,1880089341
North America,NAC,2016,,,1.88635E+13,,,2.028E+13,,1.641859949,52508.72131,,,56451.5175,0.867008317,57944.19859,56863.84575,2.08162E+13,2.04281E+13,,1.89896E+13,,2.05857E+13,52859.6074,,55937.10805,58911.98378,57709.72,2.00952E+13,2.11639E+13,2.0732E+13,,17.94273217,,3.6297E+12,18.85825373,18.57135306,,,,,1.94761E+13,,,,,,,,,,
Puerto Rico,PRI,2017,1,-1281100000,91648383879,9900000000,1.03446E+11,1.03446E+11,1044.90404,-2.885954759,27561.05306,2977.187526,31108.75275,31108.75275,-0.509099449,34363.74599,34363.74599,1.14269E+11,1.14269E+11,1.03446E+11,60256515750,69049500000,69049500000,18120.70172,20764.98082,20000,22937.67712,22940,66496604274,76274336611,76274336611,69049500000,30.87055503,31934200000,31934200000,,,,,,1.02917E+11,1.02917E+11,-34396000000,-34396000000,,,0.905278277,0.976900546,0.905278277,,,
French Polynesia,PYF,2014,89.944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,TZA,2011,1557.4334,0,34470432851,7.46218E+13,5.39762E+13,34657139495,72.33304494,7.672155435,777.2241166,1682538.389,1217031.249,781.4338957,4.549406244,2098.276605,2228.696495,93060034123,98844247428,5.39762E+13,33832682826,5.29704E+13,34011365281,762.8444103,1194354.034,770,2060.728598,2190,33932106024,91394753771,97002460506,5.29704E+13,21.83847378,1.17876E+13,7568590320,22.57825528,23.00694889,1.21869E+13,7824977428,6.76881E+13,5.00705E+13,32149344071,-1.00575E+12,-645774214.8,1.40506E+12,902161322.6,546.0731201,588.7853394,0.350623738,6.93362E+12,3.90572E+12,2507795424
Africa Western and Central,AFW,2018,,,7.75331E+11,,,7.38131E+11,,2.831538865,1781.429766,,,1695.959215,0.124017194,4115.235801,4214.041835,1.79107E+12,1.83407E+12,,7.46543E+11,,7.06965E+11,1715.28588,,1607.913553,3947.589002,4040.129229,6.99811E+11,1.71811E+12,1.75838E+12,,19.19316487,,1.38342E+11,18.72843757,19.15976909,,,,,7.11677E+11,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,2019,,,1.4335E+13,,,1.71561E+13,,5.693086131,6846.815833,,,8194.265112,5.086051763,14415.51916,15025.14922,3.01814E+13,3.14578E+13,,1.44337E+13,,1.70738E+13,6893.949396,,8284.119654,14317.12276,14930.11891,1.73443E+13,2.99754E+13,3.12588E+13,,40.71919492,,7.12936E+12,40.75100103,41.67386109,,,,,,,,,,,,,,,
Other small states,OSS,2013,,,3.72305E+11,,,4.32446E+11,,3.600226804,13394.88702,,,15558.62187,1.485771012,22209.6044,25604.34844,6.17307E+11,7.11662E+11,,,,4.12921E+11,,,14877.93675,,24527.54787,4.13526E+11,,6.81733E+11,,45.61701038,,2.17234E+11,41.66195571,44.90493054,,,,,,,,,,,,,,,
"Korea, Dem. People's Rep.",PRK,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific island small states,PSS,2016,,,7899447385,,,9453367094,,3.759065065,3311.10437,,,3962.439848,2.360124489,7068.681244,6955.858447,16864063867,16594897554,,,,9452424779,,,3949.530161,,6842.777942,9422567885,,16325116419,,13.13169182,,740884281.6,21.93433232,20.72347991,,,,,7483307750,,,,,,,,,,
Post-demographic dividend,PST,2017,,,4.80247E+13,,,4.74839E+13,,2.402517257,43422.62809,,,42933.61355,2.02131181,47464.36234,47464.36234,5.24948E+13,5.24948E+13,,4.8305E+13,,4.80997E+13,43676.02682,,42178.73555,47736.77291,48028.63123,4.6649E+13,5.27961E+13,5.31189E+13,,22.37446551,,1.05726E+13,22.9821675,22.55435718,,,,,4.45124E+13,,,,,,,,,,
Rwanda,RWA,2015,719.8596,0,8688928706,6.98305E+12,6.14692E+12,8539048448,88.02624756,8.856844355,764.2605563,614214.8352,540670.2714,751.0773926,6.123834354,1889.158106,1804.549952,21477963189,20516047508,6.14692E+12,8521543618,6.03005E+12,8376704291,749.5377033,530391.0629,750,1853.475173,1770,8553002584,21072281572,20125996971,6.03005E+12,5.503898215,3.3832E+11,469980535.1,9.883934057,10.07548898,6.07557E+11,843993917.6,6.3436E+12,5.60389E+12,7784693015,-1.16865E+11,-162344157.1,2.67396E+11,371455767.2,299.6150208,267.2947693,0.416213135,6.39452E+11,5.4303E+11,754355432.6
