Country Name,Country Code,Year,"average_value_Access to electricity, rural (% of rural population)",average_value_Agricultural irrigated land (% of total agricultural land),average_value_Agricultural land (% of land area),average_value_Agricultural land (sq. km),"average_value_Agricultural machinery, tractors","average_value_Agricultural machinery, tractors per 100 sq. km of arable land",average_value_Agricultural methane emissions (% of total),average_value_Agricultural methane emissions (thousand metric tons of CO2 equivalent),average_value_Agricultural nitrous oxide emissions (% of total),average_value_Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),average_value_Agricultural raw materials exports (% of merchandise exports),average_value_Agricultural raw materials imports (% of merchandise imports),"average_value_Agriculture, forestry, and fishing, value added (% of GDP)","average_value_Agriculture, forestry, and fishing, value added (current US$)","average_value_Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",average_value_Arable land (% of land area),average_value_Arable land (hectares per person),average_value_Arable land (hectares),average_value_Average precipitation in depth (mm per year),average_value_Cereal production (metric tons),average_value_Cereal yield (kg per hectare),average_value_Crop production index (2014-2016 = 100),average_value_Employment in agriculture (% of total employment) (modeled ILO estimate),"average_value_Employment in agriculture, female (% of female employment) (modeled ILO estimate)","average_value_Employment in agriculture, male (% of male employment) (modeled ILO estimate)",average_value_Fertilizer consumption (% of fertilizer production),average_value_Fertilizer consumption (kilograms per hectare of arable land),average_value_Food production index (2014-2016 = 100),average_value_Forest area (% of land area),average_value_Forest area (sq. km),average_value_Land area (sq. km),average_value_Land under cereal production (hectares),average_value_Livestock production index (2014-2016 = 100),average_value_Permanent cropland (% of land area),average_value_Rural land area (sq. km),average_value_Rural land area where elevation is below 5 meters (% of total land area),average_value_Rural land area where elevation is below 5 meters (sq. km),average_value_Rural population,average_value_Rural population (% of total population),average_value_Rural population growth (annual %),average_value_Rural population living in areas where elevation is below 5 meters (% of total population),average_value_Surface area (sq. km)
Sub-Saharan Africa (excluding high income),SSA,2012,20.21220994,,42.06517514,10033578.64,,,,508850,,355540,4.829579523,0.921808768,15.87928309,2.60977E+11,,9.270195585,0.237193129,,,135946793,1414.601357,0.173588052,56.73293219,57.56823673,56.02407578,370.6341643,14.18430245,0.188162447,27.62015995,6588087.32,23852458.97,96102736,0.187329462,1.217950429,,,,577785459,62.96445062,1.932630087,,24286974.56
Latvia,LVA,2014,100,,30.12552301,18720,,,,1070,,1700,10.85915999,2.177264306,3.542450641,1109827368,,19.45606695,0.606385252,1209000,,2227200,3486.5,82.21,7.5,4.46999979,10.55000019,,101.1240695,88.75,54.51522369,33875.76,62140,638800,98.14,0.096556164,,,,638967,32.048,-1.026070018,,64570
Australia,AUS,2020,,,,,,,,,,,,,1.897969113,25260088484,,,,,,,,,,,,,,,17.42131456,1340051,7692020,,,,,,,3534280,13.759,0.411935262,,
Central African Republic,CAF,2018,2.187477212,,8.154354875,50800,,,,9890,,8630,29.42458566,0.967012785,31.24133151,693863457.4,,2.889338342,0.385738394,1800000,,137904,945.1,109.26,70.30000305,73.29000092,67.79000092,,0.186766667,107.25,35.89681852,223630,622980,145922,105.16,0.128415037,,,,2736176,58.636,0.866369423,,622980
Switzerland,CHE,2016,100,2.162835211,38.36349704,15159.731,,,,3930,,1710,0.157976701,0.549352951,0.650721667,4526424167,,10.08945484,0.047614846,398695.2,,743880,5154.6,93.28,3.359999895,2.859999895,3.799999952,,212.110053,97.98,31.76812043,12553.5,39516.03,144314,99.33,0.633871874,,,,2198922,26.261,1.012097902,,41290.39
Fragile and conflict affected situations,FCS,2018,34.54457839,,33.50151401,6680776.52,,,,477260,,294640,,,,2.33016E+11,,9.154266366,0.2029154,,,141457157,1525.439062,,49.06124966,49.83866288,48.59531209,198.4408018,21.7324899,,23.45477808,4678697.03,19947735.23,92733074,,0.988276043,,,,516335956,58.23176152,1.540600116,,20228084.39
High income,HIC,2014,99.99993357,,35.21294532,12300638.74,,,,631540,,522580,1.513123602,1.242076204,1.38739296,7.03786E+11,,9.618893427,0.284868156,,,867122352,5915.823514,0.15412153,3.135368958,2.15774693,3.89668529,76.12190153,141.263014,0.169516914,29.17168671,10179818.78,34932719.93,146577098,0.14887652,0.474913471,,,,228085541,19.32293376,-0.260670678,,37093710.72
Lao PDR,LAO,2010,58.49505502,,9.618717504,22200,,,,6420,,2300,2.031169799,0.1766817,22.59579413,1610581349,,6.065857886,0.224029823,1400000,,4091515,3831.5,61.48,71.45999908,73.58000183,69.31999969,,,66.88,73.39904679,169405,230800,1067859,103.73,0.563258232,227855.5313,0,0,4370418,69.936,0.783374761,0,236800
Lower middle income,LMC,2018,81.60884416,,41.66830017,10664470.16,,,,1336520,,701330,2.083436679,2.002403213,14.50924402,1.10979E+12,,16.66620571,0.131835943,,,884402603,3351.636603,,38.60035075,42.689949,36.78930529,122.3616056,128.9435532,,26.47084688,6776469.3,25599745,263872372,,3.274818742,,,,1896710060,58.5398583,0.59955185,,26403313.2
Nauru,NRU,2017,,,20,4,,,,0,,0,,,,,,,,,,,,104.23,,,,,,103.63,0,0,20,,100.98,20,,,,0,0,,,20
Peru,PER,2014,72.7675034,,18.57734375,237790,,,,17610,,7950,1.244981346,1.239178839,6.804247414,13662205002,,2.8125,0.119639598,3600000,,5009147,4016.9,98.82,28.03000069,26.85000038,29.04000092,,112.6730333,98.74,57.3168625,733655.84,1280000,1247032,97.67,1.07734375,,,,6868729,22.827,0.254183421,,1285220
Papua New Guinea,PNG,2015,39.32860465,,2.627743674,11900,,,,1080,,3640,,,17.45693017,3792261667,,0.662456388,0.037001534,300000,,18639,4635.1,99.54,59.79999924,64.26999664,55.5,,104.6636667,99.73,79.54869249,360244.2088,452860,4021,100.31,1.545731573,,,,7052789,86.988,1.978643242,,462840
Puerto Rico,PRI,2019,100,,,,,,,,,,,,0.685891192,719600000,,,,,,,,,1.090000033,0.310000002,1.710000038,,,,55.90078918,4958.4,8870,,,,,,,205163,6.424,0.041926678,,
Serbia,SRB,2012,100,1.530641714,39.59067002,34626,,,,3470,,3830,,,6.434658119,2786802359,16.14112174,29.29453464,0.355892846,2562100,,6379255,3701.7,74.45,20.96999931,18.96999931,22.45999908,236.3983378,206.9438117,81.87,31.04975989,27156.12,87460,1723345,98.56,2.141550423,,,,3213956,44.644,-0.800624443,,88360
Turks and Caicos Islands,TCA,2020,,,,,,,,,,,,,0.430680642,3982000,,,,,,,,,,,,,,,11.07368421,105.2,950,,,,,,,2476,6.395,-2.394368175,,
Europe & Central Asia (IDA & IBRD countries),TEC,2015,99.87997672,,28.24841648,6494094,,,,183760,,165180,1.62851114,1.551322405,5.281351992,2.0401E+11,,10.94200537,0.558359551,,,315719279,2881.4435,,15.4412966,14.90846418,15.86801991,31.86033638,46.86997007,,39.2223851,9016925.107,23000119,109569823,,0.390091326,,,,153841889,34.14814924,0.136204786,,23886775
Timor-Leste,TLS,2012,45.28580406,,25.82380632,3840,,,,690,,220,,,26.07761978,299313600,91.38225256,10.7599193,0.141217756,160000,1500,182005,2089.9,100.61,48.25999832,48.22999954,48.27999878,,,99.97,62.69670477,9323,14870,87086,97.84,4.976462677,,,,810912,71.572,1.280933529,,14870
Tunisia,TUN,2019,100,,,,,,,,,,0.379956662,1.583961663,10.26866631,4024877317,,,,,,,,,13.80000019,8.960000038,15.31999969,,,,4.51338826,7012,155360,,,,,,,3595659,30.746,0.1136738,,
Chad,TCD,2018,2.280336015,,39.89675985,502380,,,,45560,,24510,,,45.09623634,5068441335,,4.129606099,0.335966644,5200000,,3021973,893,110.63,75.38999939,73.83000183,76.69000244,,,113.76,3.601493011,45350,1259200,3384176,115.74,0.030177891,,,,11908718,76.941,2.762604652,,1284000
Austria,AUT,2015,100,,32.94292293,27184.5,,,,4840,,2640,1.558348847,2.239813603,1.129790194,4313737417,,16.31240911,0.155749957,1346100,,4853895,6198.1,92.74,4.53000021,4.210000038,4.820000172,,144.7091598,97.36,47.03332525,38811.9,82520,783127,100.17,0.793625788,,,,3654565,42.285,0.675020793,,83879
Benin,BEN,2010,10.57370112,,32.36963462,36500,,,,2560,,1950,26.73841369,2.637300528,25.8411355,2464041424,,22.17098262,0.271761167,2500000,,1333436,1200.6,79.57,44.06999969,36.86000061,51.20000076,,9.134,79.86,32.23793899,36351.5,112760,1110660,82.62,5.321035828,113916.9609,0.902954539,1041.685791,5235019,56.907,1.908539338,3.445851082,114760
Bahrain,BHR,2014,100,,11.15434501,86,,,,20,,40,0.034094976,1.034670452,0.299909669,100132978.7,,2.075226978,0.001197539,1600,,,,101.25,1.080000043,0.050000001,1.350000024,1.334622813,3045.6,98.35,0.757457847,5.84,771,,97.67,3.891050584,,,,148104,11.085,0.868695003,,771
Central African Republic,CAF,2012,,,8.154354875,50800,,,,8940,,7800,32.07516167,2.011323208,36.81416647,924082152.1,0.551724138,2.889338342,0.405733373,1800000,1343,259248,1675.4,109.46,71.56999969,74.65000153,69.01000214,,0.281838889,101.98,36.18575235,225430,622980,154737,95.03,0.128415037,,,,2688997,60.612,-0.015171793,,622980
"Congo, Rep.",COG,2012,10.61778492,,31.04538799,106020,,,,1420,,1800,0.777750067,0.352112468,3.798774923,672152369.6,4.362050164,1.551976574,0.117511497,530000,1646,26547,809.8,95.61,36.16999817,36.61000061,35.75,,2.247981132,95.65,64.57101025,220510,341500,32784,95.68,0.210834553,,,,1616049,35.831,1.32359449,,342000
Ecuador,ECU,2014,97.50285325,16.63926941,22.04461266,54750,,,,9280,,4580,4.315585968,0.856980771,9.126508259,9284062000,,3.905620873,0.060808063,970000,,3087229,3526.4,98.92,25.28000069,20.10000038,28.43000031,,344.0164536,100.45,51.7836286,128609.82,248360,875458,102.95,5.705427605,,,,5860544,36.739,1.174215981,,256370
Guatemala,GTM,2012,78.04271435,,35.54647256,38091.6,,,,5540,,3680,4.404689885,1.438689363,10.72274975,5317836346,56.73716194,9.958566629,0.072193491,1067160,1996,1804110,2036.7,87.06,32.25999832,12.48999977,43.40000153,,267.1277034,83.25,34.22807018,36678.8,107160,885789,83.13,9.518477044,,,,7538790,51,1.192927337,,108890
Heavily indebted poor countries (HIPC),HPC,2013,18.57660906,,37.83416249,7323703.2,,,,414150,,267380,5.001228151,0.943823436,24.0604678,1.49578E+11,,8.789520903,0.250572683,,,107010127,1304.886153,0.207269613,61.41222145,62.9736615,60.15003195,469.2593997,11.21300428,0.211177716,28.35809925,5489385.48,19357381.58,82007233,0.185948829,1.131743976,,,,449718134,66.2311519,2.191829553,,19773863.76
Heavily indebted poor countries (HIPC),HPC,2015,17.99151512,,37.92790026,7341861.1,,,,430450,,275840,4.210465061,0.992319829,23.4299985,1.5477E+11,,8.830458971,0.238028266,,,111133274,1425.89027,,59.40233747,60.63463588,58.41159029,571.7950349,13.30907178,,28.02826186,5425547,19357415.12,77939276,,1.156766018,,,,469358176,65.35853093,2.146204204,,19773862.7
Hungary,HUN,2014,100,1.886778116,57.68134999,52640,,,,2440,,4740,0.710301494,1.16969384,3.943558672,5551151110,,47.35919351,0.438049361,4322000,,16613380,5897,102.15,4.679999828,2.640000105,6.400000095,142.4670613,112.7082369,99.83,22.55023011,20579.34,91260,2817260,95.01,1.983344291,,,,2937544,29.773,-1.185438606,,93030
IDA & IBRD total,IBT,2012,72.44685403,,37.38452638,35880841.05,,,,2806380,,1713090,1.885474215,2.294191255,8.828207598,2.37625E+12,,11.04541836,0.177534343,,,1850715175,3271.807673,0.171927596,36.83907898,36.55055547,37.01859914,100.1367665,131.2746236,0.188544321,32.24095533,30944155.39,95988673.87,565656423,0.178574057,1.536420629,,,,3138343005,52.81507237,0.269756134,,98556637.46
Lesotho,LSO,2020,,,,,,,,,,,,,6.367867347,117455958.8,,,,,,,,,,,,,,,1.137022398,345.2,30360,,,,,,,1520399,70.972,0.173789557,,
Middle East & North Africa (excluding high income),MNA,2015,91.8914997,,22.76890067,1967480.971,,,,63680,,57460,0.597658726,2.03868032,9.75933408,1.43167E+11,,5.556544679,0.131917093,,,66283160,2507.907373,,21.21221488,28.86726372,19.48666487,33.04019262,70.71300992,,2.481495099,214428.2,8641089,26429569,,1.144767251,,,,143400433,39.3983689,0.852709901,,8775233
Tuvalu,TUV,2010,95.42492607,,60,18,,,,10,,0,,,26.74814089,8512199.596,,,,,,,,93.77,,,,,,94.05,33.33333333,10,30,,94.68,60,38.7635994,32.65421347,12.65794849,4756,45.204,-1.191361149,47.46696097,30
Tanzania,TZA,2013,1.735447885,,44.76179725,396500,,,,33540,,21660,4.628456884,0.69244997,26.79086792,12238211156,,15.2404606,0.278447358,13500000,,8867188,1418,96.56,68.69000244,71.75,65.86000061,,11.21786741,96.33,55.12983066,488340.04,885800,6253484,96.71,2.427184466,,,,33843165,69.804,1.991992108,,947300
Niger,NER,2013,6.672110601,,36.0637878,456820,,,,15310,,8860,1.56303345,2.563303026,32.23501073,3295996946,,13.26280887,0.907897721,16800000,,4361285,407.7,85.65,74.26999664,72.5,75.61000061,,0.637150595,85.8,0.921007342,11666.4,1266700,10697048,86.31,0.078945291,,,,15505112,83.792,3.91208801,,1267000
Albania,ALB,2015,100,13.45482415,42.85766423,11743,,,,2110,,1080,2.305902306,0.862938542,19.78022452,2252343768,,22.44890511,0.213524268,615100,,695000,4873.8,99.85,41.27999878,47.68000031,36.74000168,,107.831247,100.03,28.8024635,7891.875,27400,142600,100.24,2.95620438,,,,1226200,42.566,-2.638588443,,28750
American Samoa,ASM,2012,,,24.5,49,,,,,,,,,,,,15,0.053889957,3000,,,,91.99,,,,,,92.68,86.85,173.7,200,,98.32,9.5,,,,7003,12.58,0.501038912,,200
Chile,CHL,2013,100,,21.22437232,157810,,,,5520,,5310,6.3116879,0.627349943,3.381868051,9414590805,,1.760516024,0.074495585,1309000,,4004023,6913.2,103.03,9.479999542,4.699999809,12.73999977,39.20639166,347.5821238,101.43,23.19705406,172477.52,743532,579184,99.09,0.614633936,,,,2241071,12.754,0.532904371,,756096
Eritrea,ERI,2010,19.64467953,,75.16831683,75920,,,,2740,,1470,,,,,,6.831683168,0.217635613,690000,,231050,511.7,86.32,67.30999756,73.40000153,61.95999908,,0.417391304,93.39,10.7609901,10868.6,101000,451578,97.3,0.01980198,122239.8281,1.195079135,1465.244019,2055236,64.825,0.700175609,0.568353753,117600
Guam,GUM,2019,100,,,,,,,,,,,,,,,,,,,,,,0.230000004,0.090000004,0.330000013,,,,51.85185185,280,540,,,,,,,8601,5.141,-0.602760606,,
Haiti,HTI,2013,3.134444991,4.347826087,66.76342525,18400,,,,3020,,1340,,,19.2308684,2788106689,,38.82438316,0.102877968,1070000,,613318,1059.9,100.84,31.47999954,15.47999954,44.88999939,,,98.58,13.39121916,3690.62,27560,578678,99.44,10.15965167,,,,5152493,49.54,-0.514540751,,27750
Israel,ISR,2017,100,33.53130016,28.78927911,6230,,,,590,,980,0.689357364,0.964448509,1.166728646,4114677716,54.21006944,17.88354898,0.04441486,387000,435,220355,3569.3,98.24,1,0.5,1.450000048,3.495311747,238.501292,101.85,6.469500924,1400,21640,61737,104.42,4.436229205,,,,667787,7.664,0.900284287,,22070
Monaco,MCO,2011,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2.027,,,,,,,0,0,,,74.92
Nauru,NRU,2011,,,20,4,,,,0,,0,,,,,,,,,,,,89.32,,,,,,91.01,0,0,20,,98.42,20,,,,0,0,,,20
Small states,SST,2020,,,,,,,,,,,,,2.50286108,14481282533,,,,,,,,,,,,,,,39.62396919,991118.7,2501331,,,,,,,16939962,40.41692899,0.537061403,,
Uzbekistan,UZB,2016,100,14.31043372,58.10780139,256016,,,,21550,,13130,,,30.83726284,25218408983,,9.286680527,0.128473149,4091600,,15255835,4755,121.74,27.42000008,25.79000092,28.54999924,83.53592621,250.2429367,114.63,8.13980408,35863,440588,3208354,105.42,0.876101937,,,,15716939,49.35,1.941692937,,448924
Japan,JPN,2020,,,,,,,,,,,0.618875594,1.515555405,,,,,,,,,,,,,,,,,68.40877915,249350,364500,,,,,,,10341204,8.218,-1.357232771,,
Africa Western and Central,AFW,2011,22.32544929,,39.34968328,3559485.78,,,,170390,,112290,7.216956664,2.633985595,22.03166688,1.40936E+11,,10.78609363,0.270809251,,,51820230,1063.085093,0.145669444,48.66133081,44.3025548,52.27174627,594.463485,6.846120604,0.167164995,20.58605538,1862169.28,9045780,48745767,0.196138899,2.035203156,,,,208012011,57.73533661,1.650510072,,9166270
Costa Rica,CRI,2012,98.1407669,,35.48766157,18120,,,,2280,,1450,2.388378729,1.004316444,5.130841914,2423381391,71.52629329,4.543674109,0.049488023,232000,2926,231741,3621.5,96.44,10.27999973,2.960000038,14.93000031,,635.3276724,95.26,56.8729338,29039.32,51060,63990,97.06,6.169212691,,,,1221412,26.054,-2.8759344,,51100
Dominica,DMA,2010,,,33.33333333,250,,,,20,,10,0.014658838,2.665944734,11.46602867,56622222.22,,8,0.084653696,6000,,170,1416.7,97.58,,,,,52.16666667,97.69,63.82666667,478.7,750,120,100.53,22.66666667,503.7093811,0.514583395,3.885168076,22614,31.906,-0.880519909,0.474784134,750
Honduras,HND,2020,,,,,,,,,,,,,12.11718092,2887262579,,,,,,,,,,,,,,,56.83492716,63592.6,111890,,,,,,,4124378,41.641,0.113900188,,
Italy,ITA,2011,100,,47.09526076,138526,,,,20940,,11090,0.731385454,2.333300416,1.883426278,43167961649,,22.84626368,0.113170467,6720000,,19521138,5677.2,108.45,3.680000067,2.640000105,4.400000095,370.6326871,134.3224702,107.84,30.87593663,90818.48,294140,3438491,106.88,8.569388726,,,,18737779,31.556,-0.198103561,,301340
Cambodia,KHM,2015,60.51231225,,31.53183775,55660,,,,16680,,4060,2.131683987,1.914344617,26.58036001,4797742832,,22.15612962,0.251974125,3911000,,9735000,3387.8,98.08,42.47000122,44.63000107,40.45999908,,29.89967016,98.17,50.11794697,88468.2,176520,2873524,99.27,0.878087469,,,,12077539,77.812,1.105006986,,181040
St. Kitts and Nevis,KNA,2018,100,,23.07692308,60,,,,10,,0,,,1.154175918,11666666.67,,19.23076923,0.0953507,5000,,,,103.67,,,,,5.176,103.1,42.30769231,110,260,,101.74,0.384615385,,,,36300,69.224,0.766011793,,260
Latin America & Caribbean,LCN,2016,93.31431454,,35.18500964,7050594.6,,,,682850,,338950,2.668418472,1.02771172,4.937226336,2.75235E+11,,7.407252152,0.23625839,,,223874974,4180.747343,,13.82734895,7.226952671,18.35579843,312.8807789,156.3489984,,47.04286407,9426994.8,20039160,53548986,,1.10664493,,,,124827761,19.86256067,-0.262859181,,20425978
Low & middle income,LMY,2013,72.21718938,,37.62352528,35380733.37,,,,2757130,,1687780,1.61079771,2.280411005,9.093637004,2.48659E+12,,11.16825539,0.175197991,,,1920004525,3347.474915,0.212928663,36.29614775,35.99906823,36.48268672,103.7158949,132.4812358,0.235070512,32.11733415,30202774.13,94049744.63,573569252,0.223151334,1.571893407,,,,3136241076,52.57981721,0.257933669,,96537507.7
Luxembourg,LUX,2019,100,,,,,,,,,,1.36654256,1.813196734,0.226573208,161104696.2,,,,,,,,,0.680000007,0.430000007,0.899999976,,,,36.50205761,887,2430,,,,,,,54417,8.777,-0.75791224,,
Myanmar,MMR,2013,42.50533158,,19.27328964,125870,,,,56510,,17610,9.145451137,0.297746223,29.53372536,17181380504,,16.49415079,0.207743262,10772000,,28622447,3592.9,97.91,52.40000153,50.15999985,54.00999832,273.1128079,19.53137393,94.29,46.81182091,305718.64,653080,7966338,84.91,2.310589821,,,,36578284,70.543,0.579381337,,676590
Pre-demographic dividend,PRE,2018,28.87846262,,40.67133262,8244282.82,,,,461510,,311330,,,17.65190422,2.41543E+11,,9.732996525,0.210391009,,,124343081,1279.995332,,53.16261824,55.59244746,51.33022287,280.4694504,14.50063318,,26.22196769,5315324.18,20270500.84,97144004,,1.238379202,,,,540409884,58.77309898,1.845418805,,20650319.98
Seychelles,SYC,2011,96.0211091,,3.260869565,15,,,,0,,0,1.70103E-05,0.726893325,2.221376932,23676027.78,,0.293478261,0.001543898,135,,,,92.72,,,,,333.3333333,115.75,73.26086957,337,460,,135.45,2.88673913,,,,40468,46.28,-3.453559662,,460
Togo,TGO,2015,19.79473227,,70.2334988,38200,,,,1580,,1520,10.80864405,1.125873475,24.37400299,1019044447,,48.72219158,0.361865544,2650000,,1249728,1237,97.95,38.68000031,35.83000183,41.50999832,2.93904,3.327215094,98.23,22.50542379,12240.7,54390,1010255,99.3,3.125574554,,,,4386574,59.9,1.694980577,,56790
American Samoa,ASM,2015,,,24.5,49,,,,,,,,,,,,15,0.05375766,3000,,,,99.4,,,,,,99.46,86.4,172.8,200,,99.98,9.5,,,,7122,12.762,0.422119664,,200
Burundi,BDI,2015,1.706962649,,79.16666667,20330,,,,1140,,1370,2.511336985,1.320525778,30.68083011,952454092.1,,46.72897196,0.118109841,1200000,,259806,1203,94.69,86.29000092,93.91000366,77.93000031,,8.33625,94.33,10.8894081,2796.4,25680,215969,102.14,13.62928349,,,,8932905,87.922,2.814010518,,27830
Cuba,CUB,2015,94.47512133,,59.94524496,62403,,,,7650,,3410,,,3.835515821,3342000000,,28.95004803,0.266115615,3013700,,791666,2964.6,101.1,18.64999962,8.090000153,25.34000015,546.3144757,57.51737731,99.5,30.58597502,31840,104100,267044,95.73,4.8376561,,,,2616476,23.104,0.0064975,,109880
India,IND,2012,72.40401076,36.32947752,60.42062566,1796420,,,,484400,,211230,4.096087272,1.635142163,16.84537707,3.07872E+11,90.40735874,52.65253818,0.123675496,156546000,1083,293290000,2963.5,95.39,47,59.95999908,43.52000046,159.5402789,163.1220216,92.97,23.55342242,700288,2973190,98969000,87.53,4.30514027,,,,865363321,68.366,0.709199107,,3287260
Libya,LBY,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.123327688,2170,1759540,,,,,,,1326777,19.309,-0.156497619,,
Myanmar,MMR,2011,39.91581105,,19.22270355,125580,,,,55870,,16330,11.85641569,0.220849347,32.4961825,17596073398,,16.51027874,0.211529134,10786000,,30636485,3589.8,98.77,52.79999924,50.15000153,54.70999908,212.0514468,14.99517894,91.16,47.68370555,311512.88,653290,8534261,71.51,2.240964962,,,,36165092,70.925,0.499832849,,676590
Middle East & North Africa (excluding high income),MNA,2011,88.80024643,,22.73499991,1964595,,,,68250,,59030,0.435959157,2.074071212,7.850795892,1.25153E+11,,5.595455766,0.14270967,,,62770639,2264.523658,0.713784564,22.97530779,32.59379467,20.81330486,33.44448085,71.14649964,0.863221967,2.474705831,213846.26,8641280,27719051,1.042410409,1.08302294,,,,137753224,40.65758973,1.088927929,,8775420
Namibia,NAM,2014,27.53215847,,47.13891824,388090,,,,3980,,2890,0.759476449,0.57966108,8.138935727,1012110521,,0.971711062,0.351891814,800000,,111718,225.8,101.1,29.31999969,30.29999924,28.40999985,,6.1386625,101.54,8.581372299,70649.58,823290,494667,101.84,0.010931749,,,,1231606,54.174,-0.184304635,,824290
Romania,ROU,2016,100,1.131573108,58.76651599,135210,,,,8400,,7080,1.303924775,1.689709371,4.069612815,7656114505,,37.30006954,0.435584392,8582000,,21764816,3971.3,100.81,23.10000038,22.62000084,23.46999931,129.3359665,59.90748077,100.83,30.11582928,69290.5,230080,5480496,100.88,1.816759388,,,,9082745,46.1,-0.601857328,,238400
Syrian Arab Republic,SYR,2019,76.37150469,,,,,,,,,,,,,,,,,,,,,,10.13000011,6.849999905,10.68000031,,,,2.843108425,5220.8,183630,,,,,,,7712115,45.179,-0.712731223,,
British Virgin Islands,VGB,2014,99.26595421,,46.66666667,70,,,,,,,,,,,,6.666666667,0.034500604,1000,,,,98.61,,,,,,98.95,24.16,36.24,150,,99.02,6.666666667,,,,15589,53.784,-0.205062552,,150
Arab World,ARB,2017,80.86159611,,36.56034475,4780538.896,,,,121660,,85820,0.168646757,0.886944211,5.115479918,1.24555E+11,84.26976153,4.453376714,0.14290294,,,52395230,1869.677439,,20.26058676,27.77061243,18.50143467,15.14348148,58.92103684,,2.868050195,375191.7,13081768.95,28023529,,0.658102557,,,,170369984,41.35767765,1.229013145,,13142338.82
Bahrain,BHR,2018,100,,11.02564103,86,,,,20,,30,0.061234142,0.634823568,0.289107982,108856383,,2.051282051,0.001019472,1600,,,,100.4,0.970000029,0.039999999,1.200000048,1.10954293,1990.53125,114.22,0.846153846,6.6,780,,117.41,3.846153846,,,,168134,10.713,3.982898452,,780
Cuba,CUB,2013,92.44538761,,60.85492228,63423,,,,8250,,3340,,,3.924923524,3028000000,,30.2859336,0.279755187,3156400,,1104303,2903.8,98.11,18.61000061,7.869999886,25.38999939,517.9962534,49.49716449,97.31,29.58357321,30832,104220,380298,96.01,4.034734216,,,,2614545,23.173,0.028919346,,109880
Germany,DEU,2019,100,,,,,,,,,,0.73893319,1.212734118,0.721821951,27870437396,,,,,,,,,1.210000038,0.829999983,1.529999971,,,,32.68361097,114190,349380,,,,,,,18798952,22.624,-0.056965671,,
France,FRA,2016,100,,52.4475461,287180.21,,,,42780,,32000,0.947032109,1.160155527,1.437114867,35515212858,,33.52329712,0.275101723,18355916,,54398704,5668.2,91.41,2.859999895,1.620000005,4,505.1928666,163.1391209,95.28,30.89979673,169194,547557,9597185,100.61,1.811902688,,,,13400202,20.083,-1.032279761,,549087
"Micronesia, Fed. Sts.",FSM,2019,78.07065938,,,,,,,,,,,,22.51386191,91870200,,,,,,,,,,,,,,,91.98571429,643.9,700,,,,,,,87848,77.188,0.893011108,,
Guatemala,GTM,2020,,,,,,,,,,,2.649706688,1.623311032,10.24341957,7949368075,,,,,,,,,,,,,,,32.92086599,35278,107160,,,,,,,8119648,48.164,0.699106194,,
Croatia,HRV,2017,100,,26.453437,14970,,,,1420,,1290,4.510439452,1.20702665,2.931888891,1626660160,10.62937063,14.43717971,0.198083128,817000,1113,2659648,5704.8,88.14,6.980000019,5.130000114,8.539999962,35.41784312,213.5483476,93.51,34.13338752,19316.084,56590,466211,105.06,1.272309595,,,,1787283,43.333,-1.808001957,,88073
Haiti,HTI,2020,,,,,,,,,,,,,19.79787193,2656477875,,,,,,,,,,,,,,,12.60159652,3473,27560,,,,,,,4893055,42.912,-0.835951276,,
Liechtenstein,LIE,2012,100,,37.5,60,,,,20,,0,,,,,,18.75,0.081933634,3000,,,,99.06,,,,,,103.45,41.871875,66.995,160,,103.58,,,,,31355,85.633,0.919539344,,160
Lesotho,LSO,2010,4.654095902,0.034393809,76.61396574,23260,,,,890,,580,5.254082659,2.202192817,4.862223727,108657668.2,,10.60606061,0.161357002,322000,,173193,909.1,129.99,50.84999847,47.70999908,53.18999863,,,101.63,1.137022398,345.2,30360,190512,92.19,0.131752306,,,,1500712,75.202,-0.396358284,,30360
Sint Maarten (Dutch part),SXM,2018,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.88235294,3.7,34,,,,,,,0,0,,,34
Grenada,GRD,2018,,,23.52941176,80,,,,10,,10,,,5.264175339,61522222.22,,8.823529412,0.026918142,3000,,365,1006.3,156.09,,,,,,146.52,52.05882353,177,340,363,96.92,11.76470588,,,,71024,63.728,0.346963014,,340
Arab World,ARB,2011,73.89340622,,36.50300298,4775396.9,,,,116860,,81930,0.167943066,1.049482376,5.289538803,1.32768E+11,,4.413130618,0.158976681,,,49615999,2524.86915,10.44417836,23.09860453,32.91332251,20.84999924,19.70318411,81.71682508,15.49468652,2.97909048,389730.66,13082202.86,19650831,23.25017353,0.627797354,,,,156913189,43.20810427,1.504776598,,13142632.79
Azerbaijan,AZE,2011,99.9,29.45456833,57.69193544,47687,,,,3950,,2760,0.05306518,2.003149729,5.076225951,3347853615,,22.81327881,0.205568859,1885700,,2370823,2484.4,94.17,37.88000107,43.93999863,32.18999863,,15.57458769,91.15,12.60099567,10415.731,82658,954274,87.98,2.748675264,,,,4252916,46.363,0.806006377,,86600
